Title,Authors,LastName
Fondazione (3/3),Isaac Asimov,Asimov
L’isola sotto il mare,Isabel Allende,Allende
La città delle Bestie,Isabel Allende,Allende
Il barone rampante,Italo Calvino,Calvino
Il cavaliere inesistente,Italo Calvino,Calvino
Il sentiero dei nidi di ragno,Italo Calvino,Calvino
Il visconte dimezzato,Italo Calvino,Calvino
Se una notte d’inverno un viaggiatore,Italo Calvino,Calvino
La coscienza di Zeno,Italo Svevo,Svevo
Senilità e Corto viaggio sentimentale,Italo Svevo,Svevo
The last of the mohicans,James Fenimore Cooper,Cooper
Gente di Dublino,James Joyce,Joyce
Applied Numerical Linear Algebra,James Weldon Demmel Jr.,Demmel
Emma,Jane Austen,Austen
L’abbazia di Northanger,Jane Austen,Austen
Lady Susan,Jane Austen,Austen
Pride and Prejudice,Jane Austen,Austen
"Guns, Germs and Steel: A Short History of Everybody for the Last 13.000 Years",Jared Diamond,Diamond
Il giovane Holden,Jerome David Salinger,Salinger
Ajax. Guida per lo sviluppatore,"Joe Fawcett, Nicholas C. Zakas, Jeremy McPeak",Fawcett
I dolori del giovane Werther,Johann Wolfgang von Goethe,Goethe
La giuria,John Grisham,Grisham
Paradiso perduto,John Milton,Milton
Cuore di tenebra,Joseph Conrad,Conrad
La linea d’ombra,Joseph Conrad,Conrad
Nostromo,Joseph Conrad,Conrad
Il dottor Oss,Jules Verne,Verne
Mille splendidi soli,Khaled Hosseini,Hosseini
Demon Slayer: Il fiore della felicità,"Koyoharu Gotouge, Aya Yajima",Gotouge
Dianetics: The Modern Science of Mental Health,Lafayette Ronald Hubbard,Hubbard
A ciascuno il suo,Leonardo Sciascia,Sciascia
Venere in pelliccia,Leopold von Sacher-Masoch,Sacher-Masoch
Anna Karenina,Lev Nikolayevich Tolstoy,Tolstoy
Guerra e pace,Lev Nikolayevich Tolstoy,Tolstoy
Anne of Green Gables & Anne of Avonlea,Lucy Montgomery,Montgomery
VB.Net,Luigi Buono,Buono
Il fu Mattia Pascal,Luigi Pirandello,Pirandello
"Uno, nessuno e centomila",Luigi Pirandello,Pirandello
Sotto il vulcano,Malcolm Lowry,Lowry
Guida per la preparazione dell’esame di stato per il settore dell’ingegneria dell’informazione: sezione A,Manuel Sciurti,Sciurti
Il tempo ritrovato,Marcel Proust,Proust
Microsoft Access 2007: per organizzare informazioni in tebelle e database,Marco Ferrero,Ferrero
Lo strano caso del cane ucciso a mezzanotte,Mark Haddon,Haddon
"C# 12 and .NET 8 – Modern Cross-Platform Development Fundamentals: Start building websites and services with ASP.NET Core 8, Blazor, and EF Core 8",Mark J. Price,Price
Python guida pocket (Python 3.X e 2.6),Mark Lutz,Lutz
Java & multimedia,Massimiliano Bigatti,Bigatti
Fondamenti di probabilità e di statistica descrittiva,"Massimo Bergamini, Anna Trifone",Bergamini
"Ada & Zangemann - Una fiaba che parla di software, skateboard e gelato al lampone","Matthias Kirschner, Sandra Brandstätter",Kirschner
La trilogia dei colori,Maxence Fermine,Fermine
AI Agent in pratica. Creare assistenti intelligenti e su misura per ogni attività,Micheal Lanham,Lanham
I convitati di pietra,Michele Mari,Mari
Don Chisciotte della Mancia,Miguel de Cervantes,Cervantes
Programmazione in Visual Basic 5,"Mike McKelvy, Ronald Martinsen, Jeff Webb",McKelvy
Ti prendo e ti porto via,Niccolò Ammaniti,Ammaniti
Algoritmi + strutture dati = programmi,Niklaus Wirth,Wirth
Anime morte,Nikolaj Vasil’evič Gogol’-Janovskij,Gogol’-Janovskij
Non sono più a tua disposizione. Come liberarsi dalle sensazioni opprimenti e vivere al meglio le proprie relazioni,Olaf Jacobsen,Jacobsen
The Canterville Ghost,Oscar Wilde,Wilde
The Picture of Dorian Gray,Oscar Wilde,Wilde
Analisi Matematica uno,"Paolo Marcellini, Carlo Sbordone",Marcellini
Esercitazioni di matematica (1/2),"Paolo Marcellini, Carlo Sbordone",Marcellini
Esercitazioni di matematica (2/2),"Paolo Marcellini, Carlo Sbordone",Marcellini
L’Italia in seconda classe,Paolo Rumiz,Rumiz
HTML5 CSS3 JavaScript,Pellegrino Principe,Principe
Level Design for Games: creating compelling game experiences,Phil Co,Co
Guida a SQL,Philip J. Pratt,Pratt
"The MVVM Pattern in .NET MAUI: The Definitive Guide to Essential Patterns, Best Practices, and Techniques for Cross-platform App Development",Pieter Nijs,Nijs
I sommersi e i salvati,Primo Michele Levi,Levi Michele
Il sistema periodico,Primo Michele Levi,Levi Michele
La chiave a stella,Primo Michele Levi,Levi Michele
La tregua,Primo Michele Levi,Levi Michele
"Se non ora, quando?",Primo Michele Levi,Levi Michele
Se questo è un uomo,Primo Michele Levi,Levi Michele
La misteriosa morte della compagna Guan,Qiú Xiǎolóng,Xiǎolóng
Visto per Shangai,Qiú Xiǎolóng,Xiǎolóng
Rita Levi Montalcini: aggiungere vita ai giorni,"Raffaella Ranise, Giuseppina Tripodi",Ranise
Fahrenheit 451,Ray Bradbury,Bradbury
Principi di fisica,"Raymond A. Serway, John W. Jewett",Serway
Principi di fisica vol. 2,"Raymond A. Serway, John W. Jewett",Serway
3D Studio Max 3 Guida avanzata,Rob Polevoi,Polevoi
L’isola del tesoro,Robert Louis Stevenson,Stevenson
"Verso l’infinito ma con calma. Un dialogo su matematica, insiemi e numeri",Roberto Zanasi,Zanasi
La strada che porta alla realtà. Le leggi fondamentali dell'universo,Roger Penrose,Penrose
Arianna prigioniera dell’abbazia,Rosa Alberoni,Alberoni
Dr. Jekyll and Mr. Hyde,"Rosemary Border, Robert Louis Stevenson",Border
La bicicletta,Rosetta Loy,Loy
"Il grande libro degli esercizi di nuoto. Stili, virate, partenze e arrivi. 176 esercizi per tutti",Ruben J. Guzman,Guzman
"Level Design: Concept, Theory, and Practice",Rudolf Kremers,Kremers
La chimera,Sebastiano Vassalli,Vassalli
C++ Primer,"Stanley B. Lippman, Josée Lajoie, Barbara E. Moo",Lippman
Il grande disegno,Stephen Hawking,Hawking
Oltre Brawn,Stuart McRobert,McRobert
Tutto quello che dovete sapere sulla corretta tecnica di allenamento con i pesi,Stuart McRobert,McRobert
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Russell
L’arte della guerra,Sun Tzu,Tzu
Ogni mattina a Jenin,Susan Abulhawa,Abulhawa
Va’ dove ti porta il cuore,Susanna Tamaro,Tamaro
Introduzione agli algoritmi e strutture dati,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",Cormen
Tess of the d’Urbervilles,Thomas Hardy,Hardy
I Buddenbrook,Thomas Mann,Mann
Lo scudo di Talos,Valerio Massimo Manfredi,Manfredi
I miserabili,Victor Hugo,Hugo
Sviluppare applicazioni con Flutter,Vincenzo Giacchina,Giacchina
Oliva Denaro,Viola Ardone,Ardone
Al Faro,Virginia Woolf,Woolf
Candido,Voltaire,Voltaire
L’ingenuo,Voltaire,Voltaire
Micromega,Voltaire,Voltaire
Zadig,Voltaire,Voltaire
"Decifrare la vita: Jennifer Doudna, la scienziata Premio Nobel che ha rivoluzionato l’editing genetico",Walter Isaacson,Isaacson
Il settimo papiro,Wilbur Smith,Smith
Sviluppare applicazioni blockchain. Guida per creare sistemi decentralizzati su reti distribuite,Yuan Michael Juntao,Juntao
Kobane Calling Oggi,Zerocalcare,Zerocalcare
L’elenco telefonico degli accolli,Zerocalcare,Zerocalcare
La Scuola di Pizze in Faccia del professor Calcare,Zerocalcare,Zerocalcare
Macerie prime,Zerocalcare,Zerocalcare
Macerie Prime – Sei Mesi Dopo,Zerocalcare,Zerocalcare
Nel nido dei serpenti,Zerocalcare,Zerocalcare
Niente di nuovo sul fronte di Rebibbia,Zerocalcare,Zerocalcare
No Sleep Till Shengal,Zerocalcare,Zerocalcare
Ogni maledetto lunedì su due,Zerocalcare,Zerocalcare
Quando muori resta a me,Zerocalcare,Zerocalcare
Scheletri,Zerocalcare,Zerocalcare
